name
"Jefferson, Thomas"
"Unknown Author"
"Shakespeare, William"
"Unknown Author"
"Anonymous"
"Seneca, Lucius Annaeus"
"Hodgson, William Hope"
"Waddington, Mary King"
"Lindsay, Anna Robertson Brown"
"Tucker, George"
"Boccaccio, Giovanni"
"Le Fanu, Joseph Sheridan"
"White, Stewart Edward"
"Hammond, S. H. (Samuel H.)"
"Dante Alighieri"
"Hayley, William"
"Unknown"
"Muir, John"
"Various"
"Various"
"Various"
"Various"
"Various"
"Various"
"Various"
"Dante Alighieri"
"Various"
"Leverson, Ada"
"Bueltmann, A. J."
"Brooks, Charles S. (Charles Stephen)"
"Cross, F. J. (Frederick J.)"
"Hurst, Fannie"
"Various"
"Avery, Harold"
"Unknown Author"
"Magnay, William, Sir"
"Dante Alighieri"
"Buffalo Bill"
"Poe, Edgar Allan"
"Various"
"Various"
"Various"
"Various"
"Various"
"Black, Edith Ferguson"
"Robins, Elizabeth"
"Behn, Aphra"
"Dante Alighieri"
"Cabell, James Branch"
"Smith, Henrietta Brown"
"Ladue, Joseph"
"Wood, William Charles Henry"
"Hancock, H. Irving (Harrie Irving)"
"Buchan, John"
"Various"
"Wheeler, Janet D."
"Oliphant, Mrs. (Margaret)"
"Dante Alighieri"
"Oliphant, Mrs. (Margaret)"
"Oliphant, Mrs. (Margaret)"
"Oliphant, Mrs. (Margaret)"
"Confucius"
"Hope, Anthony"
"Quigley, Edward J."
"Baum, L. Frank (Lyman Frank)"
"Dante Alighieri"
"Huxley, Thomas Henry"
"Keenan, Henry F. (Henry Francis)"
"Towne, Elizabeth"
"Farnol, Jeffery"
"Beck, James M. (James Montgomery)"
"Brand, Max"
"Stevenson, Burton Egbert"
"Cooke, Grace MacGowan"
"Planta, Joseph"
"Dante Alighieri"
"Eggleston, Edward"
"Edwardes, S. M. (Stephen Meredyth)"
"Moxon, Elizabeth"
"Bachelor, Joseph M. (Joseph Morris)"
"Various"
"Smith, Venture"
"Bindloss, Harold"
"Various"
"Johnson, Douglas Wilson"
"Various"
"Dante Alighieri"
"Blatch, Harriot Stanton"
"Hayes, Clair W. (Clair Wallace)"
"Watson, John R. (John Reay)"
"Green, Anna Katharine"
"Curwood, James Oliver"
"Unknown Author"
"Otis, James"
"Forsslund, Louise"
"Oxonian"
"Mackenzie, Donald A. (Donald Alexander)"
"Nitti, Francesco Saverio"
"Various"
"Various"
"MacDonald, George"
"Stevenson, Burton Egbert"
"Garnett, Richard"
"Euripides"
"Carpenter, Edward"
"Massey, W. T. (William Thomas)"
"Ward, Humphry, Mrs."
"Sterling, Bruce"
"Nichol, John"
"Hudson, W. H. (William Henry)"
"Le Queux, William"
"Unknown Author"
"Various"
"Various"
"Various"
"Dalton, Hugh Dalton, Baron"
"Anonymous"
"Marquand, John P. (John Phillips)"
"Tracy, Louis"
"Sweetser, Kate Dickinson"
"Fiske, John"
"Unknown Author"
"Earle, Alice Morse"
"Kingsley, Charles"
"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)"
"Shelley, Percy Bysshe"
"Hutton, Edward"
"Unknown Author"
"Graves, Robert"
"Baum, L. Frank (Lyman Frank)"
"Baum, L. Frank (Lyman Frank)"
"Lamb, Charles"
"Waugh, Edwin"
"Evans, Robert J."
"Unknown Author"
"Various"
"Wells, H. G. (Herbert George)"
"Lamb, Charles"
"Anonymous"
"Merriman, Henry Seton"
"Quiller-Couch, Arthur"
"Brummitt, Dan B. (Dan Brearley)"
"Unknown Author"
"Beeton, Mrs. (Isabella Mary)"
"Various"
"Tyrrell, George"
"Bower, B. M."
"Clark, Donald Lemen"
"Bryant, William Cullen"
"Spyri, Johanna"
"Various"
"Various"
"Toynbee, Arnold"
"Moore, Frank"
"Russell, Thomas Herbert"
"Pyle, Howard"
"Cooper, James Fenimore"
"Parkman, Francis"
"Stoker, Bram"
"Unknown Author"
"Raleigh, Walter Alexander, Sir"
"Spinoza, Benedictus de"
"Unknown Author"
"Cassius Dio Cocceianus"
"Hurgronje, C. Snouck (Christiaan Snouck)"
"McClung, Nellie L."
"Greg, Percy"
"Smith, Thomas F. A."
"Wilde, Oscar"
"Kingsley, Charles"
"Brontë, Anne"
"Twain, Mark"
"Lowell, Amy"
"Grey, Zane"
"Mitchell, Maria"
"Lindsay, Vachel"
"Parrish, Randall"
"Leslie, Lawrence J."
"Peck, George W. (George Wilbur)"
"Gregory, Jackson"
"Taylor, Thomas"
"Holley, Marietta"
"Austin, Mary Hunter"
"Wordsworth, William"
"Thoreau, Henry David"
"Garis, Howard Roger"
"McClung, Nellie L."
"Webb-Peploe, Mrs. (Annie)"
"Nixon-Roulet, Mary F."
"Unknown Author"
"Saunders, Marshall"
"Dickens, Charles"
"Cable, George Washington"
"Osbourne, Lloyd"
"Rumford, Benjamin, Graf von"
"Kingsley, Charles"
"Grossmith, Weedon"
"Berman, Louis"
"Allen, Quincy"
"Wells, Carolyn"
"Grey, Zane"
"Barrow, Isaac"
"Brontë, Charlotte"
"London, Jack"
"Wells, H. G. (Herbert George)"
"Various"
"Unknown Author"
"Verne, Jules"
"Unknown Author"
"Wilde, Oscar"
"Campanella, Tommaso"
"Hafiz, active 14th century"
"Fitzhugh, Percy Keese"
"Emerson, Alice B."
"Godwin, William"
"Hancock, H. Irving (Harrie Irving)"
"James, Henry"
"May, Sophie"
"Rideout, Henry Milner"
"Conklin, Nathaniel, Mrs."
"Stratemeyer, Edward"
"Brand, Max"
"Kingsley, Charles"
"Kingsley, Charles"
"Vance, Louis Joseph"
"Cassels, Walter Richard"
"Smith, Laura Rountree"
"Wiggin, Kate Douglas Smith"
"Zola, Émile"
"Various"
"Various"
"Dickinson, G. Lowes (Goldsworthy Lowes)"
"Wiggin, Kate Douglas Smith"
"Unknown Author"
"Garnett, David"
"Aaronsohn, Alexander"
"Verne, Jules"
"Owen, Wilfred"
"Stoddard, William Osborn"
"Unknown Author"
"Merriman, Henry Seton"
"Lamb, Mary"
"Trollope, Frances Milton"
"Alvares, Rahul"
"Robinson, Edwin Arlington"
"Johnson, Samuel"
"Johnson, Samuel"
"Johnson, Samuel"
"Richardson, James"
"Richardson, James"
"Boswell, James"
"Wilson, Harry Leon"
"Baum, L. Frank (Lyman Frank)"
"Lawson, Henry"
"Alcott, Louisa May"
"Troward, T. (Thomas)"
"Dolbey, Robert Valentine"
"Cooper, James Fenimore"
"Kingsley, Charles"
"Cooper, James Fenimore"
"Gandhi, Mahatma"
"Carr, John, Sir"
"Stockton, Frank Richard"
"Yeardley, John"
"Venables, Edmund"
"Musick, John R. (John Roy)"
"Oppenheim, E. Phillips (Edward Phillips)"
"Vachell, Horace Annesley"
"Fletcher, J. S. (Joseph Smith)"
"Bowman, Earl Wayland"
"MacDonald, George"
"Zitkala-Sa"
"Le Fanu, Joseph Sheridan"
"Mill, John Stuart"
"Garvice, Charles"
"Raleigh, Walter Alexander, Sir"
"Wells, Philip P. (Philip Patterson)"
"Hugo, Victor"
"Howard, J. E."
"Bull, Thomas"
"Clarkson, Thomas"
"Musick, John R. (John Roy)"
"Unknown Author"
"Long, William J. (William Joseph)"
"Livingstone, David"
"Troward, T. (Thomas)"
"Waterloo, Stanley"
"Brampton, Henry Hawkins, Baron"
"Guest, Edgar A. (Edgar Albert)"
"Pyle, Howard"
"Van Dyke, Henry"
"Harkness, Peter T."
"Stevenson, Burton Egbert"
