author
Jefferson, Thomas
Unknown Author
Shakespeare, William
Anonymous
Seneca, Lucius Annaeus
Hodgson, William Hope
Waddington, Mary King
Lindsay, Anna Robertson Brown
Tucker, George
Boccaccio, Giovanni
Le Fanu, Joseph Sheridan
White, Stewart Edward
Hammond, S. H. (Samuel H.)
Dante Alighieri
Hayley, William
Unknown
Muir, John
Various
Leverson, Ada
Bueltmann, A. J.
Brooks, Charles S. (Charles Stephen)
Cross, F. J. (Frederick J.)
Hurst, Fannie
Avery, Harold
Magnay, William, Sir
Buffalo Bill
Poe, Edgar Allan
Black, Edith Ferguson
Robins, Elizabeth
Behn, Aphra
Cabell, James Branch
Smith, Henrietta Brown
Ladue, Joseph
Wood, William Charles Henry
Hancock, H. Irving (Harrie Irving)
Buchan, John
Wheeler, Janet D.
Oliphant, Mrs. (Margaret)
Confucius
Hope, Anthony
Quigley, Edward J.
Baum, L. Frank (Lyman Frank)
Huxley, Thomas Henry
Keenan, Henry F. (Henry Francis)
Towne, Elizabeth
Farnol, Jeffery
Beck, James M. (James Montgomery)
Brand, Max
Stevenson, Burton Egbert
Cooke, Grace MacGowan
Planta, Joseph
Eggleston, Edward
Edwardes, S. M. (Stephen Meredyth)
Moxon, Elizabeth
Bachelor, Joseph M. (Joseph Morris)
Smith, Venture
Bindloss, Harold
Johnson, Douglas Wilson
Blatch, Harriot Stanton
Hayes, Clair W. (Clair Wallace)
Watson, John R. (John Reay)
Green, Anna Katharine
Curwood, James Oliver
Otis, James
Forsslund, Louise
Oxonian
Mackenzie, Donald A. (Donald Alexander)
Nitti, Francesco Saverio
MacDonald, George
Garnett, Richard
Euripides
Carpenter, Edward
Massey, W. T. (William Thomas)
Ward, Humphry, Mrs.
Sterling, Bruce
Nichol, John
Hudson, W. H. (William Henry)
Le Queux, William
Dalton, Hugh Dalton, Baron
Marquand, John P. (John Phillips)
Tracy, Louis
Sweetser, Kate Dickinson
Fiske, John
Earle, Alice Morse
Kingsley, Charles
Dyer, T. F. Thiselton (Thomas Firminger Thiselton)
Shelley, Percy Bysshe
Hutton, Edward
Graves, Robert
Lamb, Charles
Waugh, Edwin
Evans, Robert J.
Wells, H. G. (Herbert George)
Merriman, Henry Seton
Quiller-Couch, Arthur
Brummitt, Dan B. (Dan Brearley)
Beeton, Mrs. (Isabella Mary)
Tyrrell, George
Bower, B. M.
Clark, Donald Lemen
Bryant, William Cullen
Spyri, Johanna
Toynbee, Arnold
Moore, Frank
Russell, Thomas Herbert
Pyle, Howard
Cooper, James Fenimore
Parkman, Francis
Stoker, Bram
Raleigh, Walter Alexander, Sir
Spinoza, Benedictus de
Cassius Dio Cocceianus
Hurgronje, C. Snouck (Christiaan Snouck)
McClung, Nellie L.
Greg, Percy
Smith, Thomas F. A.
Wilde, Oscar
Brontë, Anne
Twain, Mark
Lowell, Amy
Grey, Zane
Mitchell, Maria
Lindsay, Vachel
Parrish, Randall
Leslie, Lawrence J.
Peck, George W. (George Wilbur)
Gregory, Jackson
Taylor, Thomas
Holley, Marietta
Austin, Mary Hunter
Wordsworth, William
Thoreau, Henry David
Garis, Howard Roger
Webb-Peploe, Mrs. (Annie)
Nixon-Roulet, Mary F.
Saunders, Marshall
Dickens, Charles
Cable, George Washington
Osbourne, Lloyd
Rumford, Benjamin, Graf von
Grossmith, Weedon
Berman, Louis
Allen, Quincy
Wells, Carolyn
Barrow, Isaac
Brontë, Charlotte
London, Jack
Verne, Jules
Campanella, Tommaso
Hafiz, active 14th century
Fitzhugh, Percy Keese
Emerson, Alice B.
Godwin, William
James, Henry
May, Sophie
Rideout, Henry Milner
Conklin, Nathaniel, Mrs.
Stratemeyer, Edward
Vance, Louis Joseph
Cassels, Walter Richard
Smith, Laura Rountree
Wiggin, Kate Douglas Smith
Zola, Émile
Dickinson, G. Lowes (Goldsworthy Lowes)
Garnett, David
Aaronsohn, Alexander
Owen, Wilfred
Stoddard, William Osborn
Lamb, Mary
Trollope, Frances Milton
Alvares, Rahul
Robinson, Edwin Arlington
Johnson, Samuel
Richardson, James
Boswell, James
Wilson, Harry Leon
Lawson, Henry
Alcott, Louisa May
Troward, T. (Thomas)
Dolbey, Robert Valentine
Gandhi, Mahatma
Carr, John, Sir
Stockton, Frank Richard
Yeardley, John
Venables, Edmund
Musick, John R. (John Roy)
Oppenheim, E. Phillips (Edward Phillips)
Vachell, Horace Annesley
Fletcher, J. S. (Joseph Smith)
Bowman, Earl Wayland
Zitkala-Sa
Mill, John Stuart
Garvice, Charles
Wells, Philip P. (Philip Patterson)
Hugo, Victor
Howard, J. E.
Bull, Thomas
Clarkson, Thomas
Long, William J. (William Joseph)
Livingstone, David
Waterloo, Stanley
Brampton, Henry Hawkins, Baron
Guest, Edgar A. (Edgar Albert)
Van Dyke, Henry
Harkness, Peter T.
McCracken, Elizabeth
Collins, J. E. (Joseph Edmund)
Roosevelt, Franklin D. (Franklin Delano)
Drayton, Daniel
Isham, Frederic Stewart
Bilbrough, E. Ernest
Raine, William MacLeod
Jellicoe, John Rushworth
Williamson, C. N. (Charles Norris)
Hubbard, Elbert
Dulabone, Chris
Meredith, George
Lewes, George Henry
Galt, John
Mundy, Talbot
Gale, Zona
McCabe, Joseph
Lucian, of Samosata
Hughes, Louis
Perry, Nora
Eddy, Mary Baker
Mackay, Isabel Ecclestone
Herrman, Karl Stephen
Train, Arthur Cheney
Chambers, Robert W. (Robert William)
Lansing, Robert
Doyle, Arthur Conan
Le Gallienne, Richard
Greene, Homer
De La Pasture, Henry, Mrs.
Blaisdell, Albert F. (Albert Franklin)
Turnbull, Lawrence, Mrs.
Flaubert, Gustave
Yeats, W. B. (William Butler)
Gregory, Francis Thomas
Richardson, Samuel
Eliot, Ethel Cook
Hope, Laura Lee
Burnett, Frances Hodgson
Brooke, L. Leslie (Leonard Leslie)
Wace
White, William Patterson
Copplestone, Bennet
Freeman, R. Austin (Richard Austin)
Lord, John
Atticus
Alcott, William A. (William Andrus)
Root, Elihu
Summerhayes, Martha
Longfellow, Henry Wadsworth
Powers, Leland Todd
Green, Alice Stopford
Trask, Katrina
Austen, Jane
Shaw, Bernard
McGaffey, Kenneth
Dell, Ethel M. (Ethel May)
Carlyle, Thomas
Clinton, Bill
Bridges, Victor
Smith, R. Cadwallader
Cotter, Frank J.
Jackson, Helen Hunt
Adams, E. E. (Ezra Eastman)
Hay, John
American Tract Society
W. M.
Crawford, F. Marion (Francis Marion)
Conrad, Joseph
Birmingham, George A.
Browne, Theo. Stephenson
Lang, Andrew
Stevenson, Augusta
Sienkiewicz, Henryk
Child, Lydia Maria
Wodehouse, P. G. (Pelham Grenville)
Yonge, Charles Duke
Orczy, Emmuska Orczy, Baroness
Cooke, John Esten
Jacobs, W. W. (William Wymark)
Hume, David
Langworthy, John Luther
Barnum, Vance
Ferri, Enrico
Bradley, Alice
Grattan, Thomas Colley
Beach, Charles Amory
Boothby, Guy
Gay, John
International Committee of the Red Cross
Montagu, Mary Wortley, Lady
Trumbull, H. Clay (Henry Clay)
Grayson, David
Cibber, Theophilus
Snell, Roy J. (Roy Judson)
Burroughs, Edgar Rice
Kerr, Robert
Spenser, Edmund
Beynon, William George Laurence, Sir
Smith, Arthur Cosslett
Elgin, James Bruce, Earl of
Henderson, Hubert Douglas, Sir
Adams, Brooks
Locke, John
Benwell, John
Fletcher, John
